,CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Latest Happiness Year,LifeSatisfaction
78,89,Kuwait,Kuwait,Middle East and North Africa,101.0,7.0,58.3,41.9,42.0,43.8,97.7,4.0,99.7,55.4,52.7,71.7,75.6,55.0,60.0,4.7,0.0,15.0,1.4,56.6,4.3,203.3,-8.1,-1.6,41627.0,6.8,2.1,-319.0,11.5,2019,6.106
79,90,Kyrgyzstan,KyrgyzRepublic,Asia-Pacific,116.0,24.0,55.8,25.1,11.8,28.8,94.8,66.7,79.0,56.1,52.2,71.4,73.2,60.0,50.0,5.9,10.0,10.0,17.9,33.3,6.6,32.8,-8.0,1.8,5036.0,7.9,6.3,-331.0,74.3,2020,6.25
80,91,Laos,Laos,Asia-Pacific,151.0,33.0,49.2,41.1,11.1,20.4,87.2,88.4,44.0,60.5,44.3,71.8,66.8,35.0,20.0,9.1,24.0,24.0,11.4,19.7,7.3,58.9,-0.4,4.9,8111.0,1.0,5.1,968.0,68.0,2020,5.284
81,92,Latvia,Latvia,Europe,18.0,13.0,74.8,88.5,75.1,61.1,76.4,53.2,91.4,81.9,62.4,83.8,79.2,85.0,60.0,2.9,31.4,20.0,31.2,39.5,1.9,60.1,-3.6,1.6,31509.0,8.2,0.1,873.0,45.5,2020,6.229
82,93,Lebanon,Lebanon,Middle East and North Africa,162.0,12.0,47.3,33.7,27.4,22.8,88.5,77.4,0.0,48.8,54.2,41.1,74.2,50.0,50.0,5.4,25.0,17.0,15.3,27.4,6.8,78.9,-25.0,-6.2,11564.0,6.6,88.2,3067.0,154.4,2019,4.024
83,94,Lesotho,Lesotho,Sub-Saharan Africa,157.0,38.0,48.1,45.0,44.1,42.8,77.4,4.5,27.5,44.2,58.3,75.9,62.2,55.0,40.0,11.4,35.0,25.0,20.2,56.4,2.1,5.6,-4.5,-1.1,2718.0,24.7,4.9,102.0,50.3,2019,3.512
84,95,Liberia,Liberia,Sub-Saharan Africa,159.0,39.0,47.9,32.2,23.4,25.1,86.1,68.0,64.6,34.8,43.2,61.7,60.8,55.0,20.0,12.1,25.0,25.0,12.0,32.7,5.1,7.3,-3.0,-0.7,1557.0,3.3,17.0,87.0,61.8,2019,5.121
86,98,Lithuania,Lithuania,Europe,17.0,12.0,75.8,88.6,74.6,66.6,84.544844,59.9,86.5,87.3,59.5,82.3,79.2,70.0,70.0,2.9,20.0,15.0,30.3,36.6,2.8,108.6,-0.8,2.9,38824.0,8.4,1.1,479.0,47.0,2020,6.391
87,99,Luxembourg,Luxembourg,Europe,5.0,3.0,80.6,97.4,96.4,89.5,64.1,41.5,98.7,89.3,56.3,80.1,79.2,95.0,80.0,2.9,42.0,17.0,39.2,44.1,0.6,73.9,-1.3,2.1,118002.0,6.7,0.0,62145.0,25.5,2019,7.404
88,101,North Macedonia,Macedonia,Europe,53.0,32.0,65.7,57.4,50.2,38.7,95.0,67.7,69.8,74.4,54.1,78.3,77.8,65.0,60.0,6.1,10.0,10.0,17.2,32.8,2.1,34.7,-4.5,1.1,16712.0,18.4,1.2,274.0,51.3,2020,5.054
89,102,Madagascar,Madagascar,Sub-Saharan Africa,98.0,12.0,58.9,40.3,33.4,23.0,90.7,92.9,87.8,37.4,56.0,75.9,64.8,55.0,50.0,10.1,20.0,20.0,11.4,15.4,27.7,44.1,-4.2,2.3,1599.0,1.9,4.2,359.0,43.6,2019,4.339
90,103,Malawi,Malawi,Sub-Saharan Africa,134.0,26.0,53.0,48.1,53.0,29.4,78.7,87.4,11.0,34.0,56.4,71.1,67.4,50.0,50.0,8.8,30.0,30.0,18.3,20.5,19.1,20.7,0.6,2.9,993.0,6.0,8.6,98.0,67.3,2019,3.869
91,104,Malaysia,Malaysia,Asia-Pacific,42.0,8.0,68.1,65.6,57.6,53.9,83.8,82.9,73.4,67.1,57.0,83.6,82.2,60.0,50.0,3.9,30.0,24.0,12.0,23.9,32.4,902.6,-5.6,2.7,27402.0,4.6,-1.1,3483.0,67.5,2019,5.428
92,105,Maldives,Maldives,Asia-Pacific,161.0,36.0,47.3,47.2,32.1,43.1,96.9,55.2,0.0,39.8,51.6,77.2,60.0,35.0,30.0,12.5,0.0,0.0,17.5,38.6,0.5,7.4,-32.2,-0.7,19609.0,7.2,-1.6,348.0,142.6,2018,5.198
93,106,Mali,Mali,Sub-Saharan Africa,114.0,18.0,55.9,34.0,34.1,28.3,69.8,83.9,70.8,44.2,54.2,82.8,64.0,65.0,40.0,10.5,40.0,35.0,14.1,23.2,20.3,47.2,-2.0,3.7,2401.0,7.5,0.6,308.0,44.2,2019,4.988
94,107,Malta,Malta,Europe,27.0,19.0,71.5,87.8,89.9,55.8,69.0,54.6,86.2,75.5,61.8,78.5,79.2,70.0,50.0,2.9,35.0,35.0,25.5,38.9,0.5,22.1,-7.0,3.2,42856.0,4.1,0.8,3917.0,55.4,2020,6.157
95,108,Mauritania,Mauritania,Sub-Saharan Africa,119.0,20.0,55.3,36.9,29.9,23.5,75.2,89.4,92.9,35.7,48.9,80.3,60.6,50.0,40.0,9.7,40.0,25.0,16.0,18.8,4.6,24.2,-2.2,2.1,5834.0,10.7,2.3,978.0,59.5,2019,4.153
96,109,Mauritius,Mauritius,Sub-Saharan Africa,30.0,1.0,70.9,85.6,81.7,56.5,91.3,73.4,6.8,72.0,69.8,75.9,87.4,80.0,70.0,1.3,15.0,15.0,20.4,29.8,1.3,25.7,-15.8,-0.3,20292.0,7.1,2.5,246.0,87.8,2020,6.015
97,110,Mexico,Mexico,Americas,67.0,14.0,63.7,47.7,40.7,32.0,76.0,78.3,78.0,69.2,58.4,73.0,76.6,75.0,60.0,4.2,35.0,30.0,16.5,26.9,128.9,2444.7,-8.2,-0.3,19130.0,4.7,3.4,29079.0,60.6,2020,5.964
98,112,Moldova,Moldova,Europe,78.0,39.0,61.3,55.9,30.7,34.7,94.1,68.1,87.2,64.2,46.4,72.4,76.6,55.0,50.0,4.2,12.0,12.0,17.3,32.6,2.6,33.7,-7.5,1.8,12811.0,4.7,3.8,55.0,35.3,2020,5.812
99,113,Mongolia,Mongolia,Asia-Pacific,66.0,12.0,63.9,48.8,57.1,37.0,89.2,68.2,81.9,66.5,67.5,76.0,74.4,50.0,50.0,5.3,10.0,25.0,18.7,32.6,3.3,39.7,-5.3,2.7,11825.0,4.3,3.7,1719.0,76.6,2020,6.011
100,114,Montenegro,Montenegro,Europe,103.0,41.0,57.8,61.3,43.0,46.4,83.9,29.5,11.9,67.1,61.7,85.6,78.8,75.0,50.0,5.6,9.0,9.0,38.1,48.5,0.6,12.0,-15.2,0.3,19252.0,15.9,-0.2,529.0,108.8,2020,5.722
101,115,Morocco,Morocco,Middle East and North Africa,97.0,6.0,59.2,57.8,32.7,41.0,68.2,69.8,46.0,64.8,46.4,80.0,68.6,65.0,70.0,10.7,38.0,31.0,27.8,31.8,36.9,274.0,-7.0,0.8,7620.0,10.2,0.6,1763.0,76.1,2020,4.803
102,116,Mozambique,Mozambique,Sub-Saharan Africa,142.0,32.0,51.3,31.9,44.1,26.3,72.2,70.3,52.7,36.7,47.4,78.8,70.6,35.0,50.0,7.2,32.0,32.0,27.1,31.5,31.3,40.8,-0.5,2.6,1277.0,3.4,3.1,2337.0,122.2,2019,4.932
103,117,Namibia,Namibia,Sub-Saharan Africa,95.0,11.0,59.2,63.8,67.6,53.9,72.3,56.5,22.4,55.4,63.4,79.0,71.2,65.0,40.0,6.9,37.0,32.0,19.4,38.1,2.5,23.8,-7.2,-1.8,9397.0,20.4,2.6,-75.0,65.7,2020,4.451
104,118,Nepal,Nepal,Asia-Pacific,148.0,31.0,49.7,37.4,34.1,33.8,82.6,77.2,51.5,60.2,51.5,70.0,57.6,10.0,30.0,13.7,25.0,25.0,22.1,27.6,29.1,117.1,-1.9,4.4,4061.0,4.4,6.2,126.0,41.3,2019,5.449
105,119,Netherlands,Netherlands,Europe,8.0,5.0,79.5,96.2,96.9,92.3,51.2,45.4,93.6,88.1,58.9,82.1,79.2,90.0,80.0,2.9,52.0,25.0,39.3,42.7,17.4,1001.5,-3.8,1.1,57534.0,4.1,1.1,-115300.0,54.0,2020,7.504
106,120,New Zealand,NewZealand,Asia-Pacific,4.0,2.0,80.6,88.2,95.9,97.5,70.8,53.5,88.3,81.3,70.5,81.8,90.0,70.0,80.0,2.5,33.0,28.0,32.3,39.4,5.1,213.9,-3.0,2.1,42018.0,4.6,1.7,4216.0,41.3,2020,7.257
107,121,Nicaragua,Nicaragua,Americas,122.0,23.0,54.8,30.1,19.5,19.0,75.3,76.2,87.3,53.8,46.9,72.0,67.8,60.0,50.0,6.1,30.0,30.0,25.9,28.2,6.6,36.2,-3.0,-0.3,5575.0,5.8,3.7,182.0,46.0,2019,6.113
108,122,Niger,Niger,Sub-Saharan Africa,121.0,22.0,54.9,37.4,35.9,32.5,77.5,85.7,69.0,35.2,53.6,74.6,62.6,55.0,40.0,11.2,35.0,30.0,11.1,21.9,24.2,30.5,1.2,5.0,1259.0,0.7,2.8,367.0,44.2,2019,5.004
109,123,Nigeria,Nigeria,Sub-Saharan Africa,124.0,23.0,54.4,22.1,33.8,22.7,84.8,95.3,58.1,41.2,73.6,67.5,68.6,45.0,40.0,8.2,24.0,30.0,6.3,12.5,206.1,1069.2,-1.8,0.3,5187.0,9.0,13.2,2385.0,35.1,2020,5.503
110,124,Norway,Norway,Europe,14.0,10.0,76.9,99.6,97.3,96.0,56.4,19.5,96.6,91.4,68.8,76.9,85.4,75.0,60.0,2.3,47.8,22.0,39.9,51.8,5.4,354.6,-0.8,0.9,65800.0,4.6,1.3,-2394.0,41.4,2020,7.29
111,125,Oman,Oman,Middle East and North Africa,108.0,8.0,56.6,74.9,27.1,53.3,97.7,32.8,6.9,58.1,45.7,84.7,73.4,65.0,60.0,5.8,0.0,15.0,2.6,47.3,5.1,134.2,-6.4,-0.2,30178.0,5.0,-0.9,4093.0,81.1,2011,6.853
112,126,Pakistan,Pakistan,Asia-Pacific,153.0,34.0,48.8,29.0,28.5,27.4,78.0,85.1,4.8,49.5,51.6,65.9,65.8,60.0,40.0,9.6,35.0,29.0,11.4,22.3,220.9,1074.1,-0.4,3.4,5150.0,4.7,10.7,2105.0,87.2,2019,4.443
113,127,Panama,Panama,Americas,56.0,11.0,65.4,58.8,50.7,38.0,85.5,81.9,40.7,67.1,61.5,78.1,77.2,75.0,70.0,6.4,25.0,25.0,14.1,24.6,4.3,115.5,-17.9,-0.2,27003.0,10.2,-1.6,589.0,63.5,2019,6.086
114,129,Paraguay,Paraguay,Americas,73.0,17.0,62.9,45.5,37.9,29.5,96.1,84.0,68.8,65.4,39.4,75.6,77.0,75.0,60.0,6.5,10.0,10.0,13.9,23.1,7.1,93.4,-0.9,2.3,12881.0,7.6,1.8,568.0,34.8,2019,5.653
115,130,Peru,Peru,Americas,51.0,8.0,66.5,49.7,49.7,39.7,79.5,84.2,73.1,65.3,59.6,81.4,81.4,75.0,60.0,1.8,30.0,29.5,16.6,23.0,33.0,397.6,-11.1,0.3,11871.0,6.2,1.8,982.0,35.4,2019,5.999
116,131,Philippines,Philippines,Asia-Pacific,80.0,15.0,61.1,47.1,25.6,34.7,76.8,84.2,81.8,61.5,58.0,69.4,73.8,60.0,60.0,5.6,35.0,30.0,14.0,23.0,109.6,919.4,-9.5,3.4,8452.0,3.4,2.6,6542.0,47.1,2020,5.08
117,132,Poland,Poland,Europe,39.0,25.0,68.7,72.3,54.7,60.6,73.6,41.9,78.3,78.7,55.7,79.1,79.2,80.0,70.0,2.9,32.0,19.0,35.4,44.0,38.0,1294.5,-2.7,3.0,34103.0,3.6,3.4,10080.0,57.7,2020,6.139
118,133,Portugal,Portugal,Europe,31.0,21.0,70.8,89.9,92.1,67.8,60.4,39.5,72.8,76.2,55.5,86.8,79.2,70.0,60.0,2.9,48.0,21.0,34.8,44.9,10.3,350.2,-7.6,0.7,34043.0,7.2,-0.1,6324.0,131.6,2020,5.768
119,134,Qatar,Qatar,Middle East and North Africa,44.0,3.0,67.7,68.6,38.8,60.0,97.8,69.3,89.7,58.6,51.9,76.0,81.4,60.0,60.0,4.3,0.0,0.0,14.7,32.0,2.9,262.0,-2.6,0.2,93508.0,3.5,-2.7,-2434.0,71.8,2015,6.375
120,135,Romania,Romania,Europe,47.0,28.0,67.1,81.0,64.8,45.4,94.3,63.9,42.8,71.4,64.1,78.8,79.2,70.0,50.0,2.9,10.0,16.0,14.6,34.7,19.3,589.7,-3.9,3.3,30526.0,4.8,2.6,2322.0,50.1,2019,6.13
121,136,Russia,Russia,Europe,113.0,43.0,56.1,36.8,34.7,29.7,93.1,62.6,99.3,62.5,57.3,68.0,69.0,30.0,30.0,5.5,13.0,20.0,11.0,35.3,144.1,4096.5,-3.1,0.8,27903.0,5.7,3.4,9676.0,19.3,2020,5.495
122,137,Rwanda,Rwanda,Sub-Saharan Africa,105.0,16.0,57.1,61.1,26.6,54.7,79.1,76.3,61.6,50.7,42.6,74.4,58.2,60.0,40.0,13.4,30.0,30.0,17.1,28.1,13.0,29.6,-0.2,5.5,2337.0,1.4,8.0,135.0,61.0,2019,3.268
123,142,Saudi Arabia,SaudiArabia,Middle East and North Africa,118.0,9.0,55.5,46.7,35.8,50.7,99.3,57.3,17.9,68.1,41.2,79.0,74.8,45.0,50.0,5.1,2.5,2.5,7.4,37.7,34.8,1627.3,-4.1,-0.1,46811.0,8.2,3.4,5486.0,32.4,2020,6.56
124,143,Senegal,Senegal,Sub-Saharan Africa,88.0,8.0,60.0,58.0,49.8,47.8,72.3,82.1,56.7,57.9,53.9,76.1,65.8,60.0,40.0,9.6,40.0,30.0,16.5,24.4,16.7,58.3,0.8,5.0,3478.0,7.1,2.5,1481.0,65.8,2019,5.489
125,144,Serbia,Serbia,Europe,59.0,35.0,65.2,58.8,50.4,37.9,90.9,42.5,85.7,74.4,62.9,81.6,77.0,70.0,50.0,6.5,10.0,15.0,24.1,43.8,6.9,132.8,-1.0,2.6,19146.0,9.1,1.7,3440.0,58.4,2020,6.042
126,146,Sierra Leone,SierraLeone,Sub-Saharan Africa,140.0,30.0,52.0,43.1,41.9,32.4,86.7,84.9,54.0,34.4,38.2,65.1,63.6,60.0,20.0,13.2,15.0,30.0,14.4,22.4,8.0,13.8,-2.2,3.4,1725.0,4.6,15.7,349.0,71.9,2019,3.447
127,147,Singapore,Singapore,Asia-Pacific,1.0,1.0,84.4,94.4,58.3,92.8,90.5,90.1,79.6,83.1,77.0,86.5,95.0,85.0,80.0,0.0,22.0,17.0,13.2,18.2,5.7,560.2,-5.4,1.5,97057.0,5.2,-0.2,90562.0,128.4,2019,6.378
128,148,Slovakia,Slovakia,Europe,36.0,23.0,69.7,83.2,71.9,53.7,77.3,41.8,76.0,75.9,56.5,75.5,79.2,75.0,70.0,2.9,25.0,21.0,34.7,44.1,5.5,178.5,-5.2,1.2,32710.0,6.8,2.0,-1930.0,60.7,2020,6.519
129,149,Slovenia,Slovenia,Europe,32.0,22.0,70.5,89.7,91.6,66.7,57.2,36.4,77.4,79.7,63.3,85.1,79.2,70.0,50.0,2.9,50.0,19.0,37.7,46.0,2.1,81.3,-5.5,2.0,38807.0,5.2,-0.1,529.0,81.5,2020,6.462
131,151,South Africa,SouthAfrica,Sub-Saharan Africa,112.0,17.0,56.2,43.2,61.3,48.4,63.4,68.1,8.1,65.7,71.1,78.0,72.2,45.0,50.0,6.4,45.0,28.0,29.1,32.6,59.3,717.4,-7.0,-0.8,12032.0,28.7,3.3,3106.0,77.1,2020,4.947
132,152,Spain,Spain,Europe,41.0,26.0,68.2,87.7,74.3,67.2,59.7,38.3,29.7,75.2,61.8,85.4,84.2,85.0,70.0,2.9,47.0,25.0,34.7,45.3,47.4,1808.7,-11.0,-0.1,38392.0,15.7,-0.3,8928.0,117.1,2020,6.502
133,153,Sri Lanka,SriLanka,Asia-Pacific,132.0,28.0,53.3,51.7,57.7,40.1,90.3,87.4,0.0,58.3,55.7,71.6,47.0,40.0,40.0,19.0,18.0,24.0,8.1,20.5,21.9,289.9,-3.6,2.0,13215.0,4.8,4.6,434.0,100.1,2019,4.213
134,154,Sudan,Sudan,Sub-Saharan Africa,174.0,47.0,32.0,22.2,13.2,14.6,84.9,92.9,0.0,25.0,44.8,13.7,48.0,5.0,20.0,16.0,15.0,35.0,7.8,15.4,43.8,181.7,-3.6,-0.9,4098.0,17.7,163.3,717.0,262.5,2014,4.139
135,155,Suriname,Suriname,Americas,156.0,29.0,48.1,51.2,45.8,37.6,70.2,66.6,0.0,52.7,64.2,58.4,60.6,40.0,30.0,12.2,38.0,36.0,15.5,33.4,0.6,8.8,-13.5,-2.9,14513.0,8.7,34.9,-27.0,165.8,2012,6.269
136,157,Sweden,Sweden,Europe,11.0,8.0,77.9,97.3,97.1,95.7,44.9,26.4,95.8,84.6,65.4,83.6,79.2,85.0,80.0,2.9,57.0,20.6,42.9,49.5,10.4,562.0,-2.8,1.0,54146.0,8.5,0.7,26109.0,38.5,2020,7.314
137,158,Switzerland,Switzerland,Europe,2.0,1.0,84.2,95.2,98.0,92.3,70.1,67.2,96.3,84.3,60.0,84.9,86.6,85.0,90.0,1.7,40.0,24.0,28.5,33.1,8.6,627.2,-3.0,1.0,72874.0,4.9,-0.7,-47172.0,42.9,2020,7.508
139,161,Tajikistan,Tajikistan,Asia-Pacific,147.0,30.0,49.7,29.5,9.1,17.8,95.3,72.4,80.0,56.9,43.1,67.1,69.6,25.0,30.0,7.7,13.0,15.0,9.0,30.3,9.5,34.8,4.5,6.7,3676.0,7.5,8.6,107.0,48.1,2020,5.373
140,162,Tanzania,Tanzania,Sub-Saharan Africa,93.0,10.0,59.5,36.9,27.0,36.9,80.6,91.9,93.3,46.3,62.0,73.8,59.8,55.0,50.0,10.1,30.0,30.0,11.7,16.5,59.7,163.6,1.0,5.7,2821.0,2.2,3.0,1013.0,38.2,2020,3.786
141,163,Thailand,Thailand,Asia-Pacific,70.0,13.0,63.2,44.2,36.2,38.5,81.3,84.4,89.8,63.4,59.6,74.2,71.6,55.0,60.0,6.7,35.0,20.0,15.8,22.8,69.8,1272.9,-6.1,1.6,18236.0,1.0,-0.8,-6100.0,49.6,2020,5.885
142,165,Togo,Togo,Sub-Saharan Africa,104.0,15.0,57.2,36.8,35.1,28.8,68.7,88.9,88.8,51.5,54.5,77.3,65.6,60.0,30.0,12.2,45.0,27.0,19.4,19.2,8.3,18.2,0.7,4.2,2199.0,4.1,1.8,639.0,57.6,2019,4.179
143,167,Trinidad and Tobago,TrinidadTobago,Americas,99.0,21.0,58.8,58.8,59.3,44.2,79.1,69.0,12.9,60.9,57.4,84.6,68.8,60.0,50.0,8.1,25.0,30.0,23.7,32.1,1.4,35.0,-7.8,-3.5,25031.0,6.7,0.6,-439.0,59.4,2017,6.192
144,168,Tunisia,Tunisia,Middle East and North Africa,128.0,10.0,54.2,60.9,49.5,47.3,75.2,67.0,20.8,57.7,56.0,74.4,66.2,45.0,30.0,9.4,35.0,15.0,32.1,33.2,11.8,120.5,-8.8,-0.4,10120.0,16.7,5.7,652.0,87.6,2020,4.731
145,169,Turkey,Turkey,Europe,107.0,42.0,56.9,42.0,25.6,39.4,74.7,63.8,59.2,63.4,47.1,61.9,75.6,70.0,60.0,4.7,40.0,20.0,23.1,34.7,84.3,2546.5,1.8,3.3,30253.0,13.9,12.3,7880.0,36.8,2020,4.862
146,170,Turkmenistan,Turkmenistan,Asia-Pacific,165.0,38.0,46.2,19.0,8.3,7.4,92.6,94.5,98.0,37.5,30.7,72.7,74.2,10.0,10.0,2.9,10.0,20.0,15.6,13.5,6.0,98.2,0.8,5.2,16521.0,4.4,7.6,1169.0,31.0,2019,5.474
147,171,Uganda,Uganda,Sub-Saharan Africa,127.0,24.0,54.2,48.3,29.2,24.0,73.6,89.8,53.5,46.5,54.7,78.2,57.8,55.0,40.0,13.6,40.0,30.0,11.8,18.5,45.7,106.1,-2.1,3.9,2574.0,2.4,3.8,823.0,45.7,2020,4.641
148,172,Ukraine,Ukraine,Europe,130.0,44.0,54.1,39.7,31.4,33.8,89.1,44.5,73.6,61.1,60.7,71.2,78.6,35.0,30.0,3.2,20.0,18.0,19.2,43.0,44.1,543.8,-4.2,1.5,13110.0,9.5,2.7,-868.0,60.7,2020,5.27
149,173,United Arab Emirates,UnitedArabEmirates,Middle East and North Africa,33.0,1.0,70.2,63.5,35.4,71.8,100.0,71.5,92.8,73.2,64.9,80.8,78.2,50.0,60.0,3.4,0.0,0.0,1.0,30.8,9.9,650.8,-5.9,0.5,58753.0,5.0,-2.1,19884.0,38.3,2020,6.458
150,174,United Kingdom,UnitedKingdom,Europe,24.0,17.0,72.7,96.2,85.9,87.1,65.4,46.3,22.6,79.1,62.1,83.0,84.2,80.0,80.0,2.9,45.0,19.0,32.7,42.3,67.2,2959.9,-9.9,-0.8,44117.0,4.3,0.9,19724.0,103.7,2020,6.798
151,175,United States,UnitedStates,Americas,25.0,3.0,72.1,95.7,77.9,75.7,75.9,54.5,0.0,87.5,75.8,82.3,75.2,85.0,80.0,2.4,37.0,21.0,24.5,38.9,329.5,20932.8,-3.5,1.1,63416.0,8.3,1.2,156321.0,127.1,2020,7.028
152,176,Uruguay,Uruguay,Americas,34.0,5.0,70.0,84.0,80.4,75.2,72.4,70.2,75.2,75.7,60.3,70.9,70.4,75.0,30.0,9.8,36.0,25.0,29.0,31.5,3.5,79.3,-5.7,-0.3,22459.0,12.7,9.8,2630.0,66.3,2020,6.31
153,177,Uzbekistan,Uzbekistan,Asia-Pacific,117.0,25.0,55.7,31.6,13.1,23.8,90.8,78.1,96.6,59.1,48.0,61.6,75.6,50.0,40.0,4.7,22.0,7.5,19.6,27.0,34.2,252.6,1.6,4.7,7449.0,6.0,12.9,1726.0,37.9,2019,6.154
154,179,Venezuela,Venezuela,Americas,176.0,32.0,24.8,0.2,4.6,7.1,74.1,78.3,0.0,30.8,37.6,0.0,54.8,0.0,10.0,12.6,34.0,34.0,16.7,26.9,28.4,144.7,-30.0,-23.5,5178.0,9.1,2355.1,959.0,304.1,2020,4.574
155,180,Vietnam,Vietnam,Asia-Pacific,84.0,18.0,60.6,49.6,33.8,33.6,80.9,85.5,78.8,73.6,53.9,68.8,78.8,40.0,50.0,5.6,35.0,20.0,16.9,22.0,97.3,1058.7,2.9,6.1,10869.0,2.3,3.2,15800.0,46.6,2019,5.467
157,182,Zambia,Zambia,Sub-Saharan Africa,154.0,36.0,48.7,38.3,45.2,30.8,70.9,73.3,0.0,44.2,41.9,66.4,68.2,55.0,50.0,8.4,37.5,35.0,16.7,29.8,18.4,63.1,-3.5,1.9,3342.0,12.2,16.4,234.0,117.8,2020,4.838
158,183,Zimbabwe,Zimbabwe,Sub-Saharan Africa,173.0,46.0,33.1,20.8,16.3,20.6,66.1,87.2,79.8,36.9,34.9,0.0,0.0,25.0,10.0,67.7,51.5,24.0,12.6,20.7,14.9,39.8,-8.0,-1.3,2622.0,5.7,557.2,194.0,88.9,2020,3.16
